pdb_file,GLU49-ARG99,GLU49-ARG102,GLU49-ARG105,GLU49-ARG108,GLU59-ARG99,GLU59-ARG102,GLU59-ARG105,GLU59-ARG108
model_4_ptm_r0_seed6.pdb,7.91,2.18,6.05,13.59,24.13,17.43,10.9,2.99
model_2_ptm_r2_seed1.pdb,11.52,3.72,5.7,12.97,27.76,19.41,13.15,12.76
model_1_ptm_r1_seed3.pdb,8.61,2.79,5.29,12.94,24.84,17.96,11.32,2.8
model_2_ptm_r1_seed9.pdb,8.09,1.81,6.44,13.04,24.86,17.69,11.47,11.26
model_2_ptm_r1_seed8.pdb,10.28,3.68,5.04,9.56,26.59,19.36,12.76,9.4
model_1_ptm_r1_seed2.pdb,10.22,3.51,2.1,10.6,25.65,18.67,12.19,3.11
model_2_ptm_r2_seed0.pdb,11.39,4.14,3.79,11.88,27.6,19.91,13.43,10.99
model_4_ptm_r0_seed7.pdb,6.23,3.08,6.82,13.91,21.86,15.37,9.72,3.29
model_3_ptm_r0_seed9.pdb,9.85,4.03,3.03,11.1,25.36,18.71,12.55,4.54
model_5_ptm_r1_seed6.pdb,9.15,3.48,5.17,11.97,24.95,18.42,12.11,6.96
model_3_ptm_r3_seed1.pdb,11.18,5.45,1.5,8.92,27.07,20.78,14.66,8.9
model_3_ptm_r3_seed3.pdb,11.87,6.11,3.17,10.6,27.8,20.93,15.46,8.43
model_5_ptm_r1_seed4.pdb,9.48,3.92,4.67,9.13,25.04,19.32,13.04,7.05
model_4_ptm_r0_seed5.pdb,9.32,2.6,3.94,12.21,24.85,18.49,11.2,4.64
model_2_ptm_r2_seed2.pdb,11.09,4.05,3.9,8.75,27.92,19.89,13.9,10.33
model_1_ptm_r1_seed0.pdb,8.96,2.75,6.77,11.22,24.52,16.9,10.55,5.74
model_1_ptm_r2_seed8.pdb,8.68,2.95,6.33,12.98,24.62,17.6,10.37,3.65
model_1_ptm_r2_seed9.pdb,10.86,3.9,3.34,10.27,26.78,19.26,12.61,5.22
model_1_ptm_r1_seed1.pdb,11.34,3.36,2.42,9.36,27.04,19.23,12.02,4.41
model_2_ptm_r2_seed3.pdb,10.0,4.09,6.56,13.59,26.59,18.92,13.03,10.79
model_4_ptm_r0_seed4.pdb,8.74,2.62,2.55,10.71,24.39,18.09,12.22,4.72
model_5_ptm_r1_seed5.pdb,9.4,2.86,4.79,12.13,25.91,18.78,12.43,7.21
model_3_ptm_r3_seed2.pdb,12.04,6.46,1.4,9.28,27.31,20.92,15.14,7.2
model_5_ptm_r1_seed1.pdb,7.73,4.03,4.67,9.67,23.92,18.83,12.32,6.44
model_3_ptm_r3_seed6.pdb,10.09,4.31,4.22,13.36,26.15,19.04,13.89,6.9
model_5_ptm_r2_seed9.pdb,7.68,3.1,5.17,9.22,23.87,18.07,12.3,6.85
model_2_ptm_r2_seed7.pdb,11.3,4.48,5.86,13.29,27.95,19.58,13.83,12.43
model_4_ptm_r0_seed0.pdb,7.68,1.7,4.59,12.32,23.27,16.4,10.37,4.57
model_1_ptm_r1_seed5.pdb,8.6,3.23,7.16,10.94,24.49,17.22,10.21,6.31
model_4_ptm_r3_seed8.pdb,8.91,1.28,5.27,12.74,25.19,16.09,12.17,7.72
model_4_ptm_r3_seed9.pdb,8.82,1.26,3.66,12.07,24.54,15.57,11.45,5.75
model_1_ptm_r1_seed4.pdb,8.98,3.12,5.81,9.98,24.92,18.12,11.45,6.43
model_4_ptm_r0_seed1.pdb,7.87,1.39,4.37,14.21,24.46,17.99,12.5,1.44
model_2_ptm_r2_seed6.pdb,11.17,2.9,4.72,11.91,28.31,19.89,13.45,10.94
model_5_ptm_r2_seed8.pdb,8.82,3.41,5.06,8.34,25.62,18.36,12.73,7.83
model_3_ptm_r3_seed7.pdb,13.0,6.76,0.73,7.58,28.37,21.3,16.2,10.25
model_5_ptm_r1_seed0.pdb,7.54,2.54,5.36,12.3,24.71,18.25,12.34,8.31
model_5_ptm_r1_seed2.pdb,9.48,0.64,3.11,10.45,25.37,16.41,12.68,7.43
model_3_ptm_r3_seed5.pdb,10.83,5.79,1.82,9.67,27.74,21.09,16.61,8.6
model_2_ptm_r2_seed4.pdb,8.5,3.42,9.15,14.79,26.0,17.79,12.0,10.95
model_4_ptm_r0_seed3.pdb,7.35,0.86,4.19,11.83,22.93,14.91,10.17,5.4
model_1_ptm_r1_seed6.pdb,8.95,2.5,3.52,11.04,25.2,18.24,11.7,3.27
model_1_ptm_r1_seed7.pdb,10.06,3.54,5.15,10.37,25.89,18.43,11.33,6.95
model_4_ptm_r0_seed2.pdb,7.65,1.71,4.51,11.59,23.24,16.82,10.72,7.07
model_2_ptm_r2_seed5.pdb,10.19,3.51,4.32,10.44,27.5,19.93,14.25,9.47
model_3_ptm_r3_seed4.pdb,12.75,6.04,2.66,9.77,28.95,20.9,17.96,9.88
model_5_ptm_r1_seed3.pdb,8.6,3.69,5.32,8.6,24.66,19.23,12.16,7.72
model_3_ptm_r3_seed9.pdb,12.26,5.11,0.68,7.98,27.97,20.23,15.97,7.64
model_3_ptm_r0_seed1.pdb,8.83,2.48,3.22,11.36,24.67,17.75,11.77,3.22
model_5_ptm_r2_seed6.pdb,9.49,3.3,4.69,12.09,25.85,18.65,12.93,8.15
model_2_ptm_r2_seed8.pdb,11.3,3.71,5.09,11.44,27.41,19.24,12.78,8.25
model_4_ptm_r3_seed7.pdb,7.61,2.31,5.17,12.25,24.07,18.14,12.25,5.87
model_2_ptm_r1_seed0.pdb,9.89,2.67,5.75,13.18,25.8,17.96,11.73,8.54
model_1_ptm_r2_seed2.pdb,11.53,3.92,2.73,9.97,26.99,19.7,12.77,4.1
model_1_ptm_r2_seed3.pdb,9.38,2.48,5.1,12.59,25.45,17.71,11.87,3.33
model_2_ptm_r1_seed1.pdb,8.19,2.81,5.97,12.18,24.61,18.42,11.15,11.7
model_4_ptm_r3_seed6.pdb,8.65,0.37,2.85,10.76,23.97,15.95,12.24,4.43
model_2_ptm_r2_seed9.pdb,7.94,2.93,7.43,15.47,25.11,18.42,13.07,13.89
model_5_ptm_r2_seed7.pdb,7.75,2.36,5.68,10.34,24.28,16.95,11.69,7.33
model_3_ptm_r0_seed0.pdb,10.92,4.56,1.63,9.52,27.04,20.21,13.73,4.42
model_3_ptm_r3_seed8.pdb,11.41,5.43,3.0,10.63,27.33,20.63,15.17,8.6
model_3_ptm_r0_seed2.pdb,9.68,3.3,2.68,12.59,25.41,18.93,12.68,3.57
model_5_ptm_r2_seed5.pdb,9.23,3.5,4.37,10.9,25.91,19.21,13.21,8.34
model_1_ptm_r1_seed9.pdb,8.93,3.05,5.47,12.66,25.15,18.53,11.0,3.54
model_4_ptm_r3_seed4.pdb,9.78,1.34,2.19,10.48,24.7,17.03,12.82,6.72
model_2_ptm_r1_seed3.pdb,9.31,2.66,4.35,11.5,25.1,16.91,11.77,8.91
model_1_ptm_r2_seed1.pdb,10.85,3.71,2.67,10.04,26.68,19.26,12.8,5.94
model_1_ptm_r2_seed0.pdb,9.74,3.24,6.52,12.97,24.83,16.9,10.95,4.31
model_2_ptm_r1_seed2.pdb,9.93,2.51,6.59,11.37,26.41,18.57,11.41,7.62
model_4_ptm_r3_seed5.pdb,9.14,1.65,3.34,12.56,24.54,17.44,12.16,3.37
model_1_ptm_r1_seed8.pdb,9.13,3.12,3.41,11.04,25.38,18.71,12.23,3.18
model_5_ptm_r2_seed4.pdb,11.13,4.57,3.6,10.57,26.5,20.32,14.69,10.0
model_3_ptm_r0_seed3.pdb,9.89,3.34,2.68,11.02,26.3,19.35,13.33,3.38
model_5_ptm_r1_seed8.pdb,6.96,2.79,3.16,9.82,23.07,17.81,11.97,5.77
model_5_ptm_r2_seed0.pdb,8.7,2.36,3.43,9.41,25.13,16.62,12.49,9.37
model_3_ptm_r0_seed7.pdb,10.33,4.22,1.87,11.15,25.77,19.09,12.93,4.26
model_4_ptm_r0_seed9.pdb,7.83,2.78,3.24,12.32,23.19,16.76,11.6,2.53
model_2_ptm_r1_seed6.pdb,9.5,3.02,4.64,12.76,25.43,18.29,11.62,5.5
model_4_ptm_r3_seed1.pdb,9.89,1.31,3.6,12.38,25.45,17.18,12.27,2.97
model_1_ptm_r2_seed4.pdb,10.66,3.65,5.6,12.99,26.16,18.43,10.62,5.61
model_1_ptm_r2_seed5.pdb,10.28,4.59,5.94,11.21,26.21,19.22,12.17,7.86
model_4_ptm_r3_seed0.pdb,7.13,1.89,6.32,14.53,23.33,16.54,10.17,3.73
model_2_ptm_r1_seed7.pdb,11.16,4.56,4.93,12.47,27.49,19.71,13.67,11.26
model_4_ptm_r0_seed8.pdb,8.2,2.73,5.19,13.55,24.49,17.58,11.7,3.43
model_3_ptm_r0_seed6.pdb,7.65,2.4,2.65,11.12,24.0,17.83,12.22,4.22
model_5_ptm_r2_seed1.pdb,8.73,0.72,4.53,11.46,24.86,17.44,12.97,8.17
model_5_ptm_r1_seed9.pdb,8.2,0.93,4.38,10.34,23.99,16.33,12.56,7.4
model_5_ptm_r2_seed3.pdb,9.48,3.44,4.41,10.48,26.2,19.26,13.48,9.19
model_3_ptm_r0_seed4.pdb,9.21,1.62,1.72,10.64,24.69,16.5,12.83,6.51
model_2_ptm_r1_seed5.pdb,10.4,2.3,4.69,12.42,25.94,17.77,11.93,11.41
model_4_ptm_r3_seed2.pdb,11.08,1.68,4.28,13.18,26.07,17.74,12.77,5.93
model_1_ptm_r2_seed7.pdb,10.5,4.2,5.96,8.84,26.07,18.7,10.45,7.1
model_1_ptm_r2_seed6.pdb,9.87,3.22,2.59,7.41,25.75,18.93,11.65,6.95
model_4_ptm_r3_seed3.pdb,8.36,2.24,3.97,12.0,24.26,17.2,11.26,5.44
model_2_ptm_r1_seed4.pdb,9.47,1.2,6.94,12.76,26.45,18.05,11.74,8.1
model_3_ptm_r0_seed5.pdb,9.78,4.16,1.71,9.86,25.58,19.74,13.03,4.76
model_5_ptm_r2_seed2.pdb,7.59,3.03,5.6,12.52,23.83,17.88,11.18,6.9
model_2_ptm_r3_seed8.pdb,8.58,2.29,6.25,13.76,26.29,19.19,13.31,13.71
model_2_ptm_r0_seed0.pdb,9.68,2.13,4.97,10.98,25.43,17.45,10.86,6.59
model_4_ptm_r2_seed7.pdb,7.64,2.39,4.58,11.64,24.52,17.24,12.06,5.76
model_1_ptm_r3_seed2.pdb,11.33,4.2,4.47,11.45,26.88,19.84,12.78,5.68
model_3_ptm_r2_seed9.pdb,11.67,5.22,0.81,8.5,27.07,19.81,14.43,6.04
model_5_ptm_r3_seed6.pdb,10.9,4.54,3.82,11.66,25.86,19.9,14.26,7.74
model_3_ptm_r1_seed1.pdb,9.14,3.28,2.41,10.58,25.38,19.05,13.28,3.59
model_3_ptm_r1_seed0.pdb,10.84,4.99,2.18,10.55,26.92,20.49,14.0,4.36
model_5_ptm_r3_seed7.pdb,7.13,2.25,4.59,10.44,23.29,15.87,12.48,6.97
model_3_ptm_r2_seed8.pdb,10.58,4.43,1.93,10.19,26.37,19.82,14.15,6.24
model_1_ptm_r3_seed3.pdb,10.34,3.34,3.02,8.19,26.44,19.08,11.6,7.41
model_4_ptm_r2_seed6.pdb,7.54,2.32,5.69,9.69,23.83,16.4,11.67,5.99
model_2_ptm_r0_seed1.pdb,9.16,3.13,7.41,13.17,23.56,16.8,10.05,5.19
model_2_ptm_r3_seed9.pdb,8.61,6.09,11.24,18.89,23.92,17.21,11.88,14.39
model_1_ptm_r0_seed9.pdb,8.77,3.12,6.58,15.12,25.04,18.47,11.32,4.11
model_2_ptm_r0_seed3.pdb,7.72,2.94,7.65,16.56,23.33,16.81,9.23,6.04
model_4_ptm_r2_seed4.pdb,8.58,1.83,5.34,13.8,23.96,17.22,11.14,5.38
model_1_ptm_r3_seed1.pdb,11.03,3.44,3.45,10.29,26.79,19.11,12.28,6.91
model_5_ptm_r3_seed5.pdb,9.02,3.83,4.11,8.51,25.52,19.26,13.65,8.43
model_3_ptm_r1_seed2.pdb,9.97,4.1,2.8,11.07,25.39,18.66,12.75,4.54
model_3_ptm_r1_seed3.pdb,9.05,3.52,1.84,9.51,25.42,19.39,13.87,4.61
model_5_ptm_r3_seed4.pdb,10.15,4.38,4.1,10.37,26.38,20.32,14.08,10.08
model_1_ptm_r3_seed0.pdb,10.43,3.54,6.24,13.65,26.02,18.26,11.3,5.91
model_4_ptm_r2_seed5.pdb,9.01,1.69,4.91,12.95,24.07,17.39,10.61,4.11
model_2_ptm_r0_seed2.pdb,8.11,3.86,9.99,15.41,24.08,16.1,9.37,6.83
model_1_ptm_r0_seed8.pdb,10.2,3.18,5.69,13.71,25.36,17.92,10.68,4.31
model_4_ptm_r1_seed9.pdb,5.59,0.38,4.79,12.99,22.45,15.17,10.77,2.75
model_4_ptm_r2_seed1.pdb,8.9,0.73,4.57,12.27,25.14,17.11,12.46,5.4
model_2_ptm_r0_seed6.pdb,9.59,2.73,4.89,11.78,25.53,17.95,11.44,8.91
model_1_ptm_r3_seed4.pdb,10.06,4.04,6.47,12.32,25.98,18.54,10.77,4.7
model_5_ptm_r0_seed8.pdb,7.51,3.22,5.64,12.18,23.54,18.44,12.19,8.56
model_3_ptm_r1_seed7.pdb,11.15,5.22,1.5,8.62,27.09,20.39,14.65,6.61
model_5_ptm_r3_seed0.pdb,8.87,4.15,4.5,8.8,26.06,19.23,14.23,9.1
model_5_ptm_r3_seed1.pdb,10.55,1.5,4.65,8.6,25.74,17.66,13.14,7.78
model_3_ptm_r1_seed6.pdb,8.76,3.27,4.17,11.8,25.79,19.54,13.46,5.59
model_5_ptm_r0_seed9.pdb,9.81,3.53,5.13,12.03,25.22,17.92,11.76,5.69
model_1_ptm_r3_seed5.pdb,9.7,3.34,2.5,6.93,25.92,18.89,12.71,7.55
model_2_ptm_r0_seed7.pdb,11.41,4.95,3.4,8.04,27.35,19.86,13.1,8.61
model_4_ptm_r2_seed0.pdb,7.83,1.61,4.13,12.26,24.25,17.0,11.4,3.08
model_4_ptm_r1_seed8.pdb,7.07,2.02,6.06,13.98,21.95,14.68,10.97,3.92
model_4_ptm_r2_seed2.pdb,8.02,1.2,5.25,13.54,22.85,15.23,11.44,5.16
model_2_ptm_r0_seed5.pdb,8.35,1.92,6.78,13.92,24.1,16.39,10.05,5.43
model_1_ptm_r3_seed7.pdb,10.75,4.04,4.68,11.6,26.72,19.39,11.73,5.73
model_3_ptm_r1_seed4.pdb,9.96,3.67,3.12,10.81,25.9,18.8,13.14,7.87
model_5_ptm_r3_seed3.pdb,9.31,0.67,4.59,8.67,25.56,16.53,13.66,8.91
model_5_ptm_r3_seed2.pdb,7.81,1.5,4.97,11.67,23.73,16.92,12.51,7.23
model_3_ptm_r1_seed5.pdb,9.67,3.33,2.48,10.48,25.81,18.7,13.57,4.37
model_1_ptm_r3_seed6.pdb,10.95,2.95,4.38,11.1,26.69,18.67,12.11,5.35
model_2_ptm_r0_seed4.pdb,8.54,1.22,6.53,11.54,24.64,16.58,10.33,7.2
model_4_ptm_r2_seed3.pdb,8.41,1.25,4.29,12.14,24.15,16.25,11.53,4.96
